departamentos,programatica1_ano,key_fecha,vaccine_header,doses_aplicadas,pct_cobertura
BOGOTA D.C.,105341,1,rotavirus_2da_dosis,99995,0.95
BOGOTA D.C.,105341,1,flu_1ra_dosis,84894,0.81
BOGOTA D.C.,105341,1,flu_2da_dosis,60130,0.57
BOGOTA D.C.,105341,1,neumo_1ra_dosis,100029,0.95
BOGOTA D.C.,105341,1,neumo_2da_dosis,100161,0.95
BOGOTA D.C.,105341,1,srp_u_dosis,100342,0.95
BOGOTA D.C.,105341,1,varicela_u_dosis,99127,0.94
BOGOTA D.C.,105341,1,fa_u_dosis,81932,0.78
BOGOTA D.C.,105341,1,neumo_m12_ref,98761,0.94
BOGOTA D.C.,105341,1,vop_1er_ref,91104,0.86
BOGOTA D.C.,105341,1,dpt_1er_ref,91351,0.87
BOGOTA D.C.,105341,1,vop_2do_ref,93218,0.88
BOGOTA D.C.,105341,1,dpt_5an_2do_ref,90629,0.86
BOGOTA D.C.,105341,1,srp_5anosref,92039,0.87
BOGOTA D.C.,105341,1,tdap_unica_dosis_en_cada_embarazo,91905,0.87
BOLIVAR,22993,1,bcg_dosis_unica,11559,0.5
BOLIVAR,22993,1,hb_d_unica,10915,0.47
BOLIVAR,22993,1,antipolio_1ras_dosis,17583,0.76
BOLIVAR,22993,1,vop_3_dosis,18024,0.78
BOLIVAR,22993,1,penta_1ras_dosis,17741,0.77
BOLIVAR,22993,1,penta_2das_dosis,18040,0.78
BOLIVAR,22993,1,penta_3ras_dosis,18078,0.79
BOLIVAR,22993,1,rotavirus_1ra_dosis,17068,0.74
BOLIVAR,22993,1,rotavirus_2da_dosis,17307,0.75
BOLIVAR,22993,1,flu_1ra_dosis,15545,0.68
BOLIVAR,22993,1,flu_2da_dosis,10382,0.45
BOLIVAR,22993,1,neumo_1ra_dosis,17105,0.74
BOLIVAR,22993,1,neumo_2da_dosis,17200,0.75
BOLIVAR,22993,1,srp_u_dosis,18803,0.82
BOLIVAR,22993,1,varicela_u_dosis,17860,0.78
BOLIVAR,22993,1,fa_u_dosis,14041,0.61
BOLIVAR,22993,1,neumo_m12_ref,18125,0.79
BOLIVAR,22993,1,vop_1er_ref,18894,0.82
BOLIVAR,22993,1,dpt_1er_ref,18970,0.83
BOLIVAR,22993,1,vop_2do_ref,19305,0.84
BOLIVAR,22993,1,dpt_5an_2do_ref,19314,0.84
BOLIVAR,22993,1,srp_5anosref,19148,0.83
BOLIVAR,22993,1,tdap_unica_dosis_en_cada_embarazo,13822,0.6
CARTAGENA,19587,1,bcg_dosis_unica,19203,0.98
CARTAGENA,19587,1,hb_d_unica,19034,0.97
CARTAGENA,19587,1,antipolio_1ras_dosis,18169,0.93
CARTAGENA,19587,1,vop_3_dosis,17234,0.88
CARTAGENA,19587,1,penta_1ras_dosis,18189,0.93
CARTAGENA,19587,1,penta_2das_dosis,17869,0.91
CARTAGENA,19587,1,penta_3ras_dosis,17222,0.88
CARTAGENA,19587,1,rotavirus_1ra_dosis,17656,0.9
CARTAGENA,19587,1,rotavirus_2da_dosis,17533,0.9
CARTAGENA,19587,1,flu_1ra_dosis,14309,0.73
CARTAGENA,19587,1,flu_2da_dosis,11362,0.58
CARTAGENA,19587,1,neumo_1ra_dosis,17343,0.89
CARTAGENA,19587,1,neumo_2da_dosis,16745,0.85
CARTAGENA,19587,1,srp_u_dosis,18020,0.92
CARTAGENA,19587,1,varicela_u_dosis,17600,0.9
CARTAGENA,19587,1,fa_u_dosis,13487,0.69
CARTAGENA,19587,1,neumo_m12_ref,16160,0.83
CARTAGENA,19587,1,vop_1er_ref,15702,0.8
CARTAGENA,19587,1,dpt_1er_ref,15741,0.8
CARTAGENA,19587,1,vop_2do_ref,15267,0.78
CARTAGENA,19587,1,dpt_5an_2do_ref,15258,0.78
CARTAGENA,19587,1,srp_5anosref,15479,0.79
CARTAGENA,19587,1,tdap_unica_dosis_en_cada_embarazo,15013,0.77
BOYACA,16748,1,bcg_dosis_unica,15612,0.93
BOYACA,16748,1,hb_d_unica,15461,0.92
BOYACA,16748,1,antipolio_1ras_dosis,15677,0.94
BOYACA,16748,1,vop_3_dosis,15359,0.92
BOYACA,16748,1,penta_1ras_dosis,15720,0.94
BOYACA,16748,1,penta_2das_dosis,15354,0.92
BOYACA,16748,1,penta_3ras_dosis,15370,0.92
BOYACA,16748,1,rotavirus_1ra_dosis,15636,0.93
BOYACA,16748,1,rotavirus_2da_dosis,15304,0.91
BOYACA,16748,1,flu_1ra_dosis,14015,0.84
BOYACA,16748,1,flu_2da_dosis,11921,0.71
BOYACA,16748,1,neumo_1ra_dosis,15722,0.94
BOYACA,16748,1,neumo_2da_dosis,15326,0.92
BOYACA,16748,1,srp_u_dosis,15724,0.94
BOYACA,16748,1,varicela_u_dosis,15596,0.93
BOYACA,16748,1,fa_u_dosis,14089,0.84
BOYACA,16748,1,neumo_m12_ref,15541,0.93
BOYACA,16748,1,vop_1er_ref,15242,0.91
BOYACA,16748,1,dpt_1er_ref,15257,0.91
BOYACA,16748,1,vop_2do_ref,16846,1.01
BOYACA,16748,1,dpt_5an_2do_ref,16833,1.01
BOYACA,16748,1,srp_5anosref,16834,1.01
BOYACA,16748,1,tdap_unica_dosis_en_cada_embarazo,13626,0.81
CALDAS,10498,1,bcg_dosis_unica,9876,0.94
CALDAS,10498,1,hb_d_unica,9726,0.93
CALDAS,10498,1,antipolio_1ras_dosis,9719,0.93
CALDAS,10498,1,vop_3_dosis,9794,0.93
CALDAS,10498,1,penta_1ras_dosis,9733,0.93
CALDAS,10498,1,penta_2das_dosis,9658,0.92
CALDAS,10498,1,penta_3ras_dosis,9779,0.93
CALDAS,10498,1,rotavirus_1ra_dosis,9583,0.91
CALDAS,10498,1,rotavirus_2da_dosis,9577,0.91
CALDAS,10498,1,flu_1ra_dosis,8513,0.81
CALDAS,10498,1,flu_2da_dosis,6639,0.63
CALDAS,10498,1,neumo_1ra_dosis,9646,0.92
CALDAS,10498,1,neumo_2da_dosis,9686,0.92
CALDAS,10498,1,srp_u_dosis,9863,0.94
CALDAS,10498,1,varicela_u_dosis,9835,0.94
CALDAS,10498,1,fa_u_dosis,8182,0.78
CALDAS,10498,1,neumo_m12_ref,9738,0.93
CALDAS,10498,1,vop_1er_ref,9935,0.95
CALDAS,10498,1,dpt_1er_ref,9799,0.93
CALDAS,10498,1,vop_2do_ref,10361,0.99
CALDAS,10498,1,dpt_5an_2do_ref,10296,0.98
CALDAS,10498,1,srp_5anosref,10240,0.98
CALDAS,10498,1,tdap_unica_dosis_en_cada_embarazo,8611,0.82
CAQUETA,9227,1,bcg_dosis_unica,7261,0.79
CAQUETA,9227,1,hb_d_unica,7004,0.76
CAQUETA,9227,1,antipolio_1ras_dosis,7153,0.78
CAQUETA,9227,1,vop_3_dosis,6679,0.72
CAQUETA,9227,1,penta_1ras_dosis,7155,0.78
CAQUETA,9227,1,penta_2das_dosis,6986,0.76
CAQUETA,9227,1,penta_3ras_dosis,6679,0.72
CAQUETA,9227,1,rotavirus_1ra_dosis,6625,0.72
CAQUETA,9227,1,rotavirus_2da_dosis,6628,0.72
CAQUETA,9227,1,flu_1ra_dosis,6369,0.69
CAQUETA,9227,1,flu_2da_dosis,4670,0.51
CAQUETA,9227,1,neumo_1ra_dosis,7160,0.78
CAQUETA,9227,1,neumo_2da_dosis,6982,0.76
CAQUETA,9227,1,srp_u_dosis,7257,0.79
CAQUETA,9227,1,varicela_u_dosis,7201,0.78
CAQUETA,9227,1,fa_u_dosis,7609,0.82
CAQUETA,9227,1,neumo_m12_ref,7114,0.77
CAQUETA,9227,1,vop_1er_ref,6255,0.68
CAQUETA,9227,1,dpt_1er_ref,6255,0.68
CAQUETA,9227,1,vop_2do_ref,6997,0.76
CAQUETA,9227,1,dpt_5an_2do_ref,6996,0.76
CAQUETA,9227,1,srp_5anosref,7005,0.76
CAQUETA,9227,1,tdap_unica_dosis_en_cada_embarazo,5884,0.64
CASANARE,7749,1,bcg_dosis_unica,6420,0.83
CASANARE,7749,1,hb_d_unica,6278,0.81
CASANARE,7749,1,antipolio_1ras_dosis,6836,0.88
CASANARE,7749,1,vop_3_dosis,6917,0.89
CASANARE,7749,1,penta_1ras_dosis,6836,0.88
CASANARE,7749,1,penta_2das_dosis,6885,0.89
CASANARE,7749,1,penta_3ras_dosis,6928,0.89
CASANARE,7749,1,rotavirus_1ra_dosis,6758,0.87
CASANARE,7749,1,rotavirus_2da_dosis,6820,0.88
CASANARE,7749,1,flu_1ra_dosis,6228,0.8
CASANARE,7749,1,flu_2da_dosis,4470,0.58
CASANARE,7749,1,neumo_1ra_dosis,6848,0.88
CASANARE,7749,1,neumo_2da_dosis,6888,0.89
CASANARE,7749,1,srp_u_dosis,7149,0.92
CASANARE,7749,1,varicela_u_dosis,7111,0.92
CASANARE,7749,1,fa_u_dosis,7242,0.93
CASANARE,7749,1,neumo_m12_ref,7137,0.92
CASANARE,7749,1,vop_1er_ref,7163,0.92
CASANARE,7749,1,dpt_1er_ref,7163,0.92
CASANARE,7749,1,vop_2do_ref,7112,0.92
CASANARE,7749,1,dpt_5an_2do_ref,7108,0.92
CASANARE,7749,1,srp_5anosref,7115,0.92
CASANARE,7749,1,tdap_unica_dosis_en_cada_embarazo,5345,0.69
CAUCA,23092,1,bcg_dosis_unica,17198,0.74
CAUCA,23092,1,hb_d_unica,16671,0.72
CAUCA,23092,1,antipolio_1ras_dosis,20784,0.9
CAUCA,23092,1,vop_3_dosis,20612,0.89
CAUCA,23092,1,penta_1ras_dosis,20821,0.9
CAUCA,23092,1,penta_2das_dosis,20735,0.9
CAUCA,23092,1,penta_3ras_dosis,20581,0.89
CAUCA,23092,1,rotavirus_1ra_dosis,20184,0.87
CAUCA,23092,1,rotavirus_2da_dosis,20205,0.87
CAUCA,23092,1,flu_1ra_dosis,18715,0.81
CAUCA,23092,1,flu_2da_dosis,13471,0.58
CAUCA,23092,1,neumo_1ra_dosis,20478,0.89
CAUCA,23092,1,neumo_2da_dosis,20026,0.87
CAUCA,23092,1,srp_u_dosis,21112,0.91
CAUCA,23092,1,varicela_u_dosis,20824,0.9
CAUCA,23092,1,fa_u_dosis,17864,0.77
CAUCA,23092,1,neumo_m12_ref,20381,0.88
CAUCA,23092,1,vop_1er_ref,19067,0.83
CAUCA,23092,1,dpt_1er_ref,19073,0.83
CAUCA,23092,1,vop_2do_ref,20942,0.91
CAUCA,23092,1,dpt_5an_2do_ref,20795,0.9
CAUCA,23092,1,srp_5anosref,20820,0.9
CAUCA,23092,1,tdap_unica_dosis_en_cada_embarazo,15285,0.66
CESAR,24015,1,bcg_dosis_unica,20554,0.86
CESAR,24015,1,hb_d_unica,20021,0.83
CESAR,24015,1,antipolio_1ras_dosis,22284,0.93
CESAR,24015,1,vop_3_dosis,21321,0.89
CESAR,24015,1,penta_1ras_dosis,22312,0.93
CESAR,24015,1,penta_2das_dosis,22013,0.92
CESAR,24015,1,penta_3ras_dosis,21335,0.89
CESAR,24015,1,rotavirus_1ra_dosis,21522,0.9
CESAR,24015,1,rotavirus_2da_dosis,21374,0.89
CESAR,24015,1,flu_1ra_dosis,19157,0.8
CESAR,24015,1,flu_2da_dosis,14164,0.59
CESAR,24015,1,neumo_1ra_dosis,22447,0.93
CESAR,24015,1,neumo_2da_dosis,21914,0.91
CESAR,24015,1,srp_u_dosis,22202,0.92
CESAR,24015,1,varicela_u_dosis,21438,0.89
CESAR,24015,1,fa_u_dosis,17560,0.73
CESAR,24015,1,neumo_m12_ref,21924,0.91
CESAR,24015,1,vop_1er_ref,21443,0.89
CESAR,24015,1,dpt_1er_ref,21445,0.89
CESAR,24015,1,vop_2do_ref,22120,0.92
CESAR,24015,1,dpt_5an_2do_ref,22177,0.92
CESAR,24015,1,srp_5anosref,21997,0.92
CESAR,24015,1,tdap_unica_dosis_en_cada_embarazo,18777,0.78
CHOCO,11728,1,bcg_dosis_unica,9145,0.78
CHOCO,11728,1,hb_d_unica,6782,0.58
CHOCO,11728,1,antipolio_1ras_dosis,10338,0.88
CHOCO,11728,1,vop_3_dosis,8981,0.77
CHOCO,11728,1,penta_1ras_dosis,10365,0.88
CHOCO,11728,1,penta_2das_dosis,9757,0.83
CHOCO,11728,1,penta_3ras_dosis,8981,0.77
CHOCO,11728,1,rotavirus_1ra_dosis,8111,0.69
CHOCO,11728,1,rotavirus_2da_dosis,8148,0.69
CHOCO,11728,1,flu_1ra_dosis,8545,0.73
CHOCO,11728,1,flu_2da_dosis,5264,0.45
CHOCO,11728,1,neumo_1ra_dosis,10254,0.87
CHOCO,11728,1,neumo_2da_dosis,9636,0.82
CHOCO,11728,1,srp_u_dosis,10994,0.94
CHOCO,11728,1,varicela_u_dosis,10725,0.91
CHOCO,11728,1,fa_u_dosis,10229,0.87
CHOCO,11728,1,neumo_m12_ref,10346,0.88
CHOCO,11728,1,vop_1er_ref,7240,0.62
CHOCO,11728,1,dpt_1er_ref,7218,0.62
CHOCO,11728,1,vop_2do_ref,9010,0.77
CHOCO,11728,1,dpt_5an_2do_ref,9010,0.77
CHOCO,11728,1,srp_5anosref,9028,0.77
CHOCO,11728,1,tdap_unica_dosis_en_cada_embarazo,6376,0.54
CORDOBA,32371,1,bcg_dosis_unica,23898,0.74
CORDOBA,32371,1,hb_d_unica,23565,0.73
CORDOBA,32371,1,antipolio_1ras_dosis,28571,0.88
CORDOBA,32371,1,vop_3_dosis,29312,0.91
CORDOBA,32371,1,penta_1ras_dosis,28598,0.88
CORDOBA,32371,1,penta_2das_dosis,28624,0.88
CORDOBA,32371,1,penta_3ras_dosis,29319,0.91
CORDOBA,32371,1,rotavirus_1ra_dosis,27920,0.86
CORDOBA,32371,1,rotavirus_2da_dosis,28068,0.87
CORDOBA,32371,1,flu_1ra_dosis,24953,0.77
CORDOBA,32371,1,flu_2da_dosis,16550,0.51
CORDOBA,32371,1,neumo_1ra_dosis,27894,0.86
CORDOBA,32371,1,neumo_2da_dosis,27781,0.86
CORDOBA,32371,1,srp_u_dosis,28719,0.89
CORDOBA,32371,1,varicela_u_dosis,28089,0.87
CORDOBA,32371,1,fa_u_dosis,23385,0.72
CORDOBA,32371,1,neumo_m12_ref,27489,0.85
CORDOBA,32371,1,vop_1er_ref,27060,0.84
CORDOBA,32371,1,dpt_1er_ref,27005,0.83
CORDOBA,32371,1,vop_2do_ref,29221,0.9
CORDOBA,32371,1,dpt_5an_2do_ref,29134,0.9
CORDOBA,32371,1,srp_5anosref,29089,0.9
CORDOBA,32371,1,tdap_unica_dosis_en_cada_embarazo,22180,0.69
CUNDINAMARCA,39124,1,bcg_dosis_unica,18528,0.47
CUNDINAMARCA,39124,1,hb_d_unica,18396,0.47
CUNDINAMARCA,39124,1,antipolio_1ras_dosis,31565,0.81
CUNDINAMARCA,39124,1,vop_3_dosis,32219,0.82
CUNDINAMARCA,39124,1,penta_1ras_dosis,31616,0.81
CUNDINAMARCA,39124,1,penta_2das_dosis,32132,0.82
CUNDINAMARCA,39124,1,penta_3ras_dosis,32259,0.82
CUNDINAMARCA,39124,1,rotavirus_1ra_dosis,31325,0.8
CUNDINAMARCA,39124,1,rotavirus_2da_dosis,31911,0.82
CUNDINAMARCA,39124,1,flu_1ra_dosis,26665,0.68
CUNDINAMARCA,39124,1,flu_2da_dosis,18229,0.47
CUNDINAMARCA,39124,1,neumo_1ra_dosis,31468,0.8
CUNDINAMARCA,39124,1,neumo_2da_dosis,32012,0.82
CUNDINAMARCA,39124,1,srp_u_dosis,32740,0.84
CUNDINAMARCA,39124,1,varicela_u_dosis,32366,0.83
CUNDINAMARCA,39124,1,fa_u_dosis,27313,0.7
CUNDINAMARCA,39124,1,neumo_m12_ref,32469,0.83
CUNDINAMARCA,39124,1,vop_1er_ref,32011,0.82
CUNDINAMARCA,39124,1,dpt_1er_ref,32009,0.82
CUNDINAMARCA,39124,1,vop_2do_ref,32926,0.84
CUNDINAMARCA,39124,1,dpt_5an_2do_ref,32896,0.84
CUNDINAMARCA,39124,1,srp_5anosref,32655,0.83
CUNDINAMARCA,39124,1,tdap_unica_dosis_en_cada_embarazo,24111,0.62
GUAINIA,853,1,bcg_dosis_unica,960,1.13
GUAINIA,853,1,hb_d_unica,776,0.91
GUAINIA,853,1,antipolio_1ras_dosis,942,1.1
GUAINIA,853,1,vop_3_dosis,718,0.84
GUAINIA,853,1,penta_1ras_dosis,940,1.1
GUAINIA,853,1,penta_2das_dosis,824,0.97
GUAINIA,853,1,penta_3ras_dosis,712,0.83
GUAINIA,853,1,rotavirus_1ra_dosis,748,0.88
GUAINIA,853,1,rotavirus_2da_dosis,652,0.76
GUAINIA,853,1,flu_1ra_dosis,409,0.48
GUAINIA,853,1,flu_2da_dosis,292,0.34
GUAINIA,853,1,neumo_1ra_dosis,951,1.11
GUAINIA,853,1,neumo_2da_dosis,811,0.95
GUAINIA,853,1,srp_u_dosis,866,1.02
GUAINIA,853,1,varicela_u_dosis,836,0.98
GUAINIA,853,1,fa_u_dosis,933,1.09
GUAINIA,853,1,neumo_m12_ref,821,0.96
GUAINIA,853,1,vop_1er_ref,533,0.62
GUAINIA,853,1,dpt_1er_ref,533,0.62
GUAINIA,853,1,vop_2do_ref,816,0.96
GUAINIA,853,1,dpt_5an_2do_ref,820,0.96
GUAINIA,853,1,srp_5anosref,834,0.98
GUAINIA,853,1,tdap_unica_dosis_en_cada_embarazo,501,0.59
GUAVIARE,1516,1,bcg_dosis_unica,1215,0.8
GUAVIARE,1516,1,hb_d_unica,1181,0.78
GUAVIARE,1516,1,antipolio_1ras_dosis,1233,0.81
GUAVIARE,1516,1,vop_3_dosis,1213,0.8
GUAVIARE,1516,1,penta_1ras_dosis,1233,0.81
GUAVIARE,1516,1,penta_2das_dosis,1263,0.83
GUAVIARE,1516,1,penta_3ras_dosis,1214,0.8
GUAVIARE,1516,1,rotavirus_1ra_dosis,1182,0.78
GUAVIARE,1516,1,rotavirus_2da_dosis,1225,0.81
GUAVIARE,1516,1,flu_1ra_dosis,697,0.46
GUAVIARE,1516,1,flu_2da_dosis,520,0.34
GUAVIARE,1516,1,neumo_1ra_dosis,1237,0.82
GUAVIARE,1516,1,neumo_2da_dosis,1269,0.84
GUAVIARE,1516,1,srp_u_dosis,1319,0.87
GUAVIARE,1516,1,varicela_u_dosis,1300,0.86
GUAVIARE,1516,1,fa_u_dosis,1683,1.11
GUAVIARE,1516,1,neumo_m12_ref,1318,0.87
GUAVIARE,1516,1,vop_1er_ref,1227,0.81
GUAVIARE,1516,1,dpt_1er_ref,1227,0.81
GUAVIARE,1516,1,vop_2do_ref,1479,0.98
GUAVIARE,1516,1,dpt_5an_2do_ref,1479,0.98
GUAVIARE,1516,1,srp_5anosref,1481,0.98
GUAVIARE,1516,1,tdap_unica_dosis_en_cada_embarazo,1004,0.66
HUILA,21071,1,bcg_dosis_unica,19950,0.95
HUILA,21071,1,hb_d_unica,19905,0.94
HUILA,21071,1,antipolio_1ras_dosis,19374,0.92
HUILA,21071,1,vop_3_dosis,18940,0.9
HUILA,21071,1,penta_1ras_dosis,19432,0.92
HUILA,21071,1,penta_2das_dosis,19192,0.91
HUILA,21071,1,penta_3ras_dosis,18933,0.9
HUILA,21071,1,rotavirus_1ra_dosis,19199,0.91
HUILA,21071,1,rotavirus_2da_dosis,19015,0.9
HUILA,21071,1,flu_1ra_dosis,15960,0.76
HUILA,21071,1,flu_2da_dosis,11921,0.57
HUILA,21071,1,neumo_1ra_dosis,19427,0.92
HUILA,21071,1,neumo_2da_dosis,19187,0.91
HUILA,21071,1,srp_u_dosis,19174,0.91
HUILA,21071,1,varicela_u_dosis,18817,0.89
HUILA,21071,1,fa_u_dosis,16513,0.78
HUILA,21071,1,neumo_m12_ref,19081,0.91
HUILA,21071,1,vop_1er_ref,18290,0.87
HUILA,21071,1,dpt_1er_ref,18287,0.87
HUILA,21071,1,vop_2do_ref,18909,0.9
HUILA,21071,1,dpt_5an_2do_ref,18899,0.9
